MST code,Citizenship,Dept,Dept name,App. Status,Time App. Started,Date App. Started,Transfer date,App year,Inquiry
050000314375,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),21:19:42,2023-01-02,2023-01-05,2023/24,
050000314375,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),20:21:43,2023-01-02,2023-01-05,2023/24,
050000314375,Kazakhstan,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),20:20:18,2023-01-02,2023-01-06,2023/24,
050000315428,India,DOPP,Department of Public Policy,Submitted via Web (PAID),22:31:09,2023-02-01,2023-02-07,2023/24,
050000315428,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),10:27:26,2023-01-27,2023-02-09,2023/24,
050000315428,India,DNDS,Department of Network and Data Science,Submitted via Web (PAID),10:19:49,2023-01-27,2023-02-07,2023/24,
050000315428,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),23:27:49,2023-01-03,2023-02-06,2023/24,
050000315658,Colombia,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),00:42:17,2022-11-25,2023-01-18,2023/24,
050000315845,Zimbabwe,MEDS,Department of Medieval Studies,Submitted via Web (PAID),10:22:25,2023-01-09,2023-02-06,2023/24,
050000261057,Turkey,HIST,Department of History,Submitted via Web (PAID),15:09:17,2023-01-18,2023-01-30,2023/24,RFTUR281017
,Taiwan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),00:09:53,2022-11-09,2023-02-01,2023/24,
050000316067,"Korea, Republic of",ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),02:46:09,2022-11-07,2023-02-01,2023/24,
050000316176,India,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),23:04:04,2023-01-21,2023-01-26,2023/24,
050000316779,United States of America,GENS,Department of Gender Studies,Submitted via Web (PAID),23:19:16,2023-02-01,2023-02-06,2023/24,
050000316779,United States of America,HIST,Department of History,Submitted via Web (PAID),21:56:20,2022-10-24,2023-02-06,2023/24,
,Syrian Arab Republic,DNDS,Department of Network and Data Science,Submitted via Web (PAID),14:49:00,2023-01-18,2023-02-02,2023/24,
050000316970,Ethiopia,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),23:47:44,2022-10-07,2022-11-24,2023/24,
050000317653,Mongolia,DOPP,Department of Public Policy,Submitted via Web (PAID),13:06:12,2023-01-30,2023-02-02,2023/24,
050000317653,Mongolia,DOPP,Department of Public Policy,Submitted via Web (PAID),11:31:20,2023-01-26,2023-02-02,2023/24,
050000317717,Kyrgyzstan,ECBS,Department of Economics and Business,Submitted via Web (PAID),21:35:40,2022-09-27,2023-01-09,2023/24,
050000317794,Afghanistan,DNDS,Department of Network and Data Science,Submitted via Web (PAID),16:18:36,2023-01-10,2023-01-15,2023/24,
050000317794,Afghanistan,ECBS,Department of Economics and Business,Submitted via Web (PAID),10:24:38,2022-11-22,2023-01-10,2023/24,
050000318020,Czech Republic,GENS,Department of Gender Studies,Submitted via Web (PAID),11:59:53,2022-12-07,2023-01-05,2023/24,
050000318020,Czech Republic,NATI,Nationalism Studies Program,Submitted via Web (PAID),10:50:44,2023-01-19,2023-01-20,2023/24,
050000318020,Czech Republic,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),20:00:31,2022-09-30,2023-01-05,2023/24,
050000318176,Austria,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),05:19:03,2023-01-25,2023-02-01,2023/24,DSPSJOBSAC
050000318692,Ukraine,LEGS,Department of Legal Studies,Submitted via Web (PAID),16:10:20,2023-01-11,2023-01-23,2023/24,
050000319265,Malaysia,HIST,Department of History,Submitted via Web (PAID),05:31:55,2022-12-11,2023-01-24,2023/24,
050000320404,Azerbaijan,DOPP,Department of Public Policy,Submitted via Web (PAID),16:40:40,2023-01-01,2023-01-27,2023/24,
050000313905,India,GENS,Department of Gender Studies,Submitted via Web (PAID),13:28:34,2023-01-17,2023-01-23,2023/24,GENSSTUDYP
050000313905,India,GENS,Department of Gender Studies,Submitted via Web (PAID),06:56:49,2022-10-03,2023-01-05,2023/24,GENSSTUDYP
050000321653,"Congo, the Democratic Republic of the",ECBS,Department of Economics and Business,Submitted via Web (PAID),11:36:57,2022-09-25,2022-12-23,2023/24,
050000321653,"Congo, the Democratic Republic of the",DOPP,Department of Public Policy,Submitted via Web (PAID),13:36:40,2022-09-24,2023-01-02,2023/24,
050000321653,"Congo, the Democratic Republic of the",DOPP,Department of Public Policy,Submitted via Web (PAID),12:51:09,2023-01-11,2023-01-14,2023/24,
050000321653,"Congo, the Democratic Republic of the",ECBS,Department of Economics and Business,Submitted via Web (PAID),13:21:57,2022-09-25,2023-01-02,2023/24,
050000322133,Peru,PHIL,Department of Philosophy,Submitted via Web (PAID),23:16:39,2023-01-28,2023-02-02,2023/24,
050000322186,Nigeria,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),17:04:30,2022-12-13,2022-12-19,2023/24,ENVS
050000322186,Nigeria,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),15:52:57,2022-12-13,2022-12-13,2023/24,ENVS
050000322186,Nigeria,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),11:29:41,2023-01-04,2023-01-04,2023/24,ENVS
,Brazil,PHIL,Department of Philosophy,Submitted via Web (PAID),21:29:20,2022-12-31,2023-01-09,2023/24,
050000311712,Viet Nam,GENS,Department of Gender Studies,Submitted via Web (PAID),17:35:21,2023-01-21,2023-02-06,2023/24,GENSPOSTGRAD
050000323327,"Iran, Islamic Republic of",GENS,Department of Gender Studies,Submitted via Web (PAID),10:45:47,2023-01-06,2023-02-07,2023/24,SOCLJOBSAC
050000323327,"Iran, Islamic Republic of",SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),19:34:17,2023-01-22,2023-02-07,2023/24,SOCLJOBSAC
050000323458,Ghana,LEGS,Department of Legal Studies,Submitted via Web (PAID),11:40:35,2022-09-24,2022-10-11,2023/24,
050000323458,Ghana,INTR,Department of International Relations,Submitted via Web (PAID),23:45:45,2022-09-23,2022-10-11,2023/24,
050000323458,Ghana,POLS,Department of Political Science,Submitted via Web (PAID),20:28:15,2022-09-23,2022-10-14,2023/24,
050000323458,Ghana,DOPP,Department of Public Policy,Submitted via Web (PAID),23:38:28,2022-09-23,2022-10-17,2023/24,
050000323499,Azerbaijan,POLS,Department of Political Science,Submitted via Web (PAID),11:48:42,2023-01-09,2023-01-30,2023/24,
050000323499,Azerbaijan,DNDS,Department of Network and Data Science,Submitted via Web (PAID),18:53:55,2022-11-20,2023-01-27,2023/24,
050000323507,Zimbabwe,LEGS,Department of Legal Studies,Submitted via Web (PAID),09:16:27,2022-12-03,2023-01-26,2023/24,
050000323682,Philippines,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),23:48:07,2023-01-31,2023-02-01,2023/24,
050000324036,United States of America,HIST,Department of History,Submitted via Web (PAID),18:05:07,2023-01-31,2023-02-06,2023/24,
050000324036,United States of America,PHIL,Department of Philosophy,Submitted via Web (PAID),18:06:40,2023-01-31,2023-02-06,2023/24,
050000324036,United States of America,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),20:21:44,2023-02-01,2023-02-06,2023/24,
050000324545,Kyrgyzstan,HIST,Department of History,Submitted via Web (PAID),14:36:47,2023-01-21,2023-02-02,2023/24,
050000324683,"Moldova, Republic of",ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),10:11:43,2023-01-24,2023-02-06,2023/24,
050000325000,Pakistan,GENS,Department of Gender Studies,Submitted via Web (PAID),08:02:41,2022-12-13,2023-01-31,2023/24,
050000325000,Pakistan,LEGS,Department of Legal Studies,Submitted via Web (PAID),15:41:38,2023-01-09,2023-02-01,2023/24,
050000325109,Azerbaijan,ECBS,Department of Economics and Business,Submitted via Web (PAID),12:58:21,2022-12-05,2022-12-29,2023/24,
050000325156,Ukraine,RGPP,Roma Graduate Preparation Program,Submitted via Web (PAID),00:17:28,2023-02-09,2023-03-08,2023/24,
050000325469,Pakistan,MEDS,Department of Medieval Studies,Submitted via Web (PAID),21:02:03,2022-11-08,2023-02-03,2023/24,
050000325650,Ethiopia,GENS,Department of Gender Studies,Submitted via Web (PAID),12:47:49,2022-11-08,2023-02-03,2023/24,GENS
050000325671,Botswana,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:59:44,2022-09-24,2022-09-28,2023/24,
050000325805,Argentina,PHIL,Department of Philosophy,Submitted via Web (PAID),21:27:08,2023-01-30,2023-01-31,2023/24,
050000325877,Russian Federation,MEDS,Department of Medieval Studies,Submitted via Web (PAID),03:35:43,2023-01-04,2023-02-02,2023/24,
050000326120,Canada,GENS,Department of Gender Studies,Submitted via Web (PAID),15:00:34,2023-01-18,2023-01-23,2023/24,
050000326120,Canada,NATI,Nationalism Studies Program,Submitted via Web (PAID),14:33:50,2023-01-20,2023-01-23,2023/24,
050000326120,Canada,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),20:07:44,2023-01-15,2023-01-23,2023/24,
050000326220,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),18:12:28,2023-01-04,2023-02-01,2023/24,
050000326220,India,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),16:04:09,2023-01-26,2023-02-01,2023/24,
050000326693,Kenya,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),11:19:22,2023-01-20,2023-01-22,2023/24,ENVSJOBSAC
050000326827,Azerbaijan,LEGS,Department of Legal Studies,Submitted via Web (PAID),23:11:19,2023-01-30,2023-02-03,2023/24,
050000326858,Ghana,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),12:38:27,2023-01-04,2023-01-20,2023/24,
050000327247,Pakistan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),17:42:19,2023-02-01,2023-02-02,2023/24,
050000327286,Belarus,PHIL,Department of Philosophy,Submitted via Web (PAID),12:33:18,2022-12-22,2023-01-18,2023/24,
050000327286,Belarus,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:46:12,2022-12-21,2023-01-18,2023/24,
050000297640,Turkey,SOCL,Department of Sociology and Social Anthropology,Submitted via Web (PAID),19:28:10,2023-01-23,2023-01-24,2023/24,SOCLSTUDYP
050000327631,Argentina,MEDS,Department of Medieval Studies,Submitted via Web (PAID),00:37:07,2023-02-01,2023-02-02,2023/24,
050000328064,India,MEDS,Department of Medieval Studies,Submitted via Web (PAID),12:12:27,2022-12-27,2023-02-06,2023/24,
050000328083,Mozambique,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),20:00:39,2022-11-08,2022-11-09,2023/24,
050000328537,Canada,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),09:52:10,2023-01-31,2023-02-01,2023/24,
050000328675,Hungary,SLTG,Source Language Teaching Group,Submitted via Web (PAID),14:49:46,2023-09-17,2023-09-17,2023/24,
050000328684,Austria,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),19:35:43,2023-02-01,2023-02-02,2023/24,
050000329054,United States of America,MEDS,Department of Medieval Studies,Submitted via Web (PAID),17:10:59,2023-01-30,2023-02-03,2023/24,
050000329237,Kenya,DOPP,Department of Public Policy,Submitted via Web (PAID),11:39:49,2022-10-31,2023-01-18,2023/24,
050000329820,Egypt,DOPP,Department of Public Policy,Submitted via Web (PAID),18:33:10,2023-09-09,2023-09-11,2023/24,
050000330050,"Korea, Republic of",HIST,Department of History,Submitted via Web (PAID),06:06:15,2022-12-17,2023-02-02,2023/24,
050000330051,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:49:33,2023-02-01,2023-02-02,2023/24,
050000330051,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),16:57:33,2023-02-01,2023-02-02,2023/24,
050000330051,Kazakhstan,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),22:15:08,2023-02-01,2023-02-02,2023/24,
050000330698,India,PHIL,Department of Philosophy,Submitted via Web (PAID),10:02:48,2023-01-10,2023-01-24,2023/24,
050000331027,Bangladesh,GENS,Department of Gender Studies,Submitted via Web (PAID),16:07:52,2023-01-28,2023-02-01,2023/24,
050000331187,Kyrgyzstan,LEGS,Department of Legal Studies,Submitted via Web (PAID),23:53:03,2023-01-30,2023-02-03,2023/24,
050000331187,Kyrgyzstan,LEGS,Department of Legal Studies,Submitted via Web (PAID),21:17:10,2023-01-18,2023-02-03,2023/24,
050000331741,Egypt,ENVS,Department of Environmental Sciences and Policy,Submitted via Web (PAID),22:58:24,2023-01-26,2023-01-30,2023/24,
050000331845,Croatia,MEDS,Department of Medieval Studies,Submitted via Web (PAID),23:35:57,2023-01-27,2023-02-06,2023/24,
050000325830,Brazil,DSPS,"Doctoral School of Political Science, Public Policy, and International Relations",Submitted via Web (PAID),22:27:08,2023-01-27,2023-02-06,2023/24,CFAOSFFB
050000332398,Tajikistan,INTR,Department of International Relations,Submitted via Web (PAID),05:35:57,2023-01-23,2023-02-17,2023/24,
050000332725,Georgia,INTR,Department of International Relations,Submitted via Web (PAID),10:23:56,2023-01-29,2023-02-03,2023/24,
050000333233,Turkey,RGPP,Roma Graduate Preparation Program,Submitted via Web (PAID),12:22:59,2023-03-16,2023-04-04,2023/24,
050000333259,Egypt,PHIL,Department of Philosophy,Submitted via Web (PAID),23:50:32,2023-02-01,2023-02-02,2023/24,
